Country,Confirmed,Deaths,Recovered,Active,Critical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population
USA,4371839,149849.0,2090129.0,2131861.0,18986.0,13202.0,453.0,54219575.0,163736.0,331139904.0
Brazil,2419901,87052.0,1634274.0,698575.0,8318.0,11379.0,409.0,12601096.0,59253.0,212665350.0
India,1436019,32812.0,918735.0,484472.0,8944.0,1040.0,24.0,16806803.0,12171.0,1380937553.0
Russia,812485,13269.0,600250.0,198966.0,2300.0,5567.0,91.0,26902291.0,184339.0,145939049.0
South Africa,445433,6769.0,265077.0,173587.0,539.0,7504.0,114.0,2773778.0,46729.0,59359094.0
Mexico,390516,43680.0,251505.0,95331.0,3922.0,3027.0,339.0,918381.0,7118.0,129025472.0
Peru,384797,18229.0,267850.0,98718.0,1424.0,11660.0,552.0,2230247.0,67578.0,33002511.0
Chile,345790,9112.0,318095.0,18583.0,1592.0,18078.0,476.0,1524533.0,79703.0,19127587.0
Spain,319501,28432.0,,,617.0,6833.0,608.0,6320836.0,135187.0,46756106.0
UK,299426,45752.0,,,104.0,4409.0,674.0,14794369.0,217848.0,67911333.0
Iran,291172,15700.0,253213.0,22259.0,3695.0,3464.0,187.0,2327850.0,27691.0,84065313.0
Pakistan,274289,5842.0,241026.0,27421.0,1229.0,1240.0,26.0,1890236.0,8547.0,221166730.0
Saudi Arabia,266941,2733.0,220323.0,43885.0,2120.0,7660.0,78.0,3056956.0,87719.0,34849613.0
Colombia,248976,8525.0,125037.0,115414.0,1493.0,4890.0,167.0,1409124.0,27673.0,50919972.0
Italy,246118,35107.0,198446.0,12565.0,44.0,4071.0,581.0,6560572.0,108520.0,60455229.0
Turkey,226100,5613.0,209487.0,11000.0,1249.0,2679.0,67.0,4572688.0,54178.0,84401071.0
Bangladesh,223453,2928.0,123882.0,96643.0,1.0,1356.0,18.0,1111558.0,6745.0,164802127.0
Germany,206741,9203.0,190600.0,6938.0,237.0,2467.0,110.0,7418812.0,88527.0,83803229.0
France,180528,30192.0,80815.0,69521.0,410.0,2765.0,462.0,2982302.0,45682.0,65283977.0
Argentina,162526,2939.0,70518.0,89069.0,955.0,3594.0,65.0,636844.0,14082.0,45224432.0
Canada,113911,8890.0,99355.0,5666.0,2224.0,3016.0,235.0,3801950.0,100674.0,37765087.0
Iraq,110032,4362.0,75217.0,30453.0,433.0,2732.0,108.0,912698.0,22659.0,40278833.0
Qatar,109305,165.0,106024.0,3116.0,89.0,38929.0,59.0,472442.0,168260.0,2807805.0
Indonesia,98778,4781.0,56655.0,37342.0,,361.0,17.0,1381699.0,5048.0,273721489.0
Egypt,92062,4606.0,33831.0,53625.0,41.0,899.0,45.0,135000.0,1318.0,102458428.0
China,83891,4634.0,78918.0,339.0,6.0,58.0,3.0,90410000.0,62814.0,1439323776.0
Kazakhstan,83122,585.0,52571.0,29966.0,221.0,4423.0,31.0,2064778.0,109876.0,18791918.0
Ecuador,80694,5515.0,34896.0,40283.0,350.0,4569.0,312.0,225293.0,12757.0,17660768.0
Philippines,80448,1932.0,26110.0,52406.0,351.0,733.0,18.0,1334541.0,12168.0,109678880.0
Sweden,78997,5697.0,,,50.0,7819.0,564.0,751213.0,74350.0,10103707.0
Oman,76005,384.0,55299.0,20322.0,167.0,14861.0,75.0,296989.0,58068.0,5114531.0
Bolivia,69429,2583.0,21169.0,45677.0,71.0,5942.0,221.0,148857.0,12741.0,11683672.0
Belarus,67132,534.0,60425.0,6173.0,89.0,7105.0,57.0,1251359.0,132432.0,9449094.0
Belgium,66026,9821.0,17438.0,38767.0,47.0,5695.0,847.0,1514046.0,130597.0,11593226.0
Ukraine,64849,1605.0,35807.0,27437.0,91.0,1483.0,37.0,937006.0,21435.0,43713713.0
Kuwait,63773,433.0,54373.0,8967.0,123.0,14919.0,101.0,479411.0,112149.0,4274759.0
Dominican Republic,62908,1063.0,28603.0,33242.0,267.0,5795.0,98.0,235289.0,21675.0,10855381.0
Israel,61956,470.0,27025.0,34461.0,303.0,6736.0,51.0,1597269.0,173662.0,9197590.0
Panama,60296,1294.0,34131.0,24871.0,158.0,13960.0,300.0,207908.0,48135.0,4319239.0
UAE,58913,344.0,52182.0,6387.0,,5952.0,35.0,4828066.0,487758.0,9898488.0
Netherlands,52946,6139.0,,,16.0,3089.0,358.0,851885.0,49708.0,17137619.0
Singapore,50369,27.0,45521.0,4821.0,,8605.0,5.0,1170049.0,199887.0,5853551.0
Portugal,50164,1717.0,35217.0,13230.0,48.0,4921.0,168.0,1528600.0,149944.0,10194483.0
Guatemala,45053,1734.0,31612.0,11707.0,5.0,2512.0,97.0,140501.0,7833.0,17936925.0
Romania,44798,2187.0,25643.0,16968.0,351.0,2330.0,114.0,1102901.0,57360.0,19227859.0
Poland,43065,1671.0,32753.0,8641.0,61.0,1138.0,44.0,2095222.0,55365.0,37843543.0
Nigeria,40532,858.0,17374.0,22300.0,7.0,196.0,4.0,262579.0,1272.0,206452281.0
Honduras,39276,1116.0,4922.0,33238.0,61.0,3961.0,113.0,95574.0,9639.0,9914965.0
Bahrain,39131,140.0,35689.0,3302.0,48.0,22952.0,82.0,788910.0,462736.0,1704881.0
Armenia,37317,705.0,26478.0,10134.0,10.0,12592.0,238.0,157152.0,53027.0,2963645.0
Afghanistan,36157,1259.0,25180.0,9718.0,31.0,928.0,32.0,86907.0,2229.0,38983033.0
Switzerland,34412,1977.0,30700.0,1735.0,20.0,3974.0,228.0,758836.0,87635.0,8659053.0
Ghana,32969,168.0,29494.0,3307.0,8.0,1060.0,5.0,374612.0,12040.0,31113950.0
Kyrgyzstan,32813,1277.0,20388.0,11148.0,24.0,5024.0,196.0,267718.0,40990.0,6531241.0
Azerbaijan,30050,417.0,22684.0,6949.0,66.0,2962.0,41.0,667819.0,65824.0,10145499.0
Japan,29382,996.0,21762.0,6624.0,66.0,232.0,8.0,715283.0,5657.0,126447444.0
Algeria,27357,1155.0,18088.0,8114.0,64.0,623.0,26.0,,,43902249.0
Ireland,25881,1764.0,23364.0,753.0,5.0,5237.0,357.0,600342.0,121489.0,4941543.0
Serbia,23730,534.0,14047.0,9149.0,169.0,2717.0,61.0,621714.0,71177.0,8734718.0
Moldova,23034,735.0,15909.0,6390.0,362.0,5711.0,182.0,128076.0,31755.0,4033264.0
Uzbekistan,20531,116.0,11105.0,9310.0,138.0,613.0,3.0,1377915.0,41130.0,33501443.0
Austria,20472,712.0,18209.0,1551.0,15.0,2272.0,79.0,847898.0,94106.0,9010036.0
Morocco,20278,313.0,16438.0,3527.0,31.0,549.0,8.0,1147173.0,31055.0,36940214.0
Nepal,18613,45.0,13128.0,5440.0,,638.0,2.0,647484.0,22196.0,29170716.0
Kenya,17603,280.0,7743.0,9580.0,44.0,327.0,5.0,269288.0,5001.0,53845480.0
Cameroon,16708,385.0,14539.0,1784.0,30.0,628.0,14.0,145000.0,5454.0,26586267.0
Ivory Coast,15596,96.0,10178.0,5322.0,,590.0,4.0,95105.0,3600.0,26418259.0
Venezuela,15463,142.0,9746.0,5575.0,26.0,544.0,5.0,1491737.0,52471.0,28429910.0
Czechia,15324,371.0,11428.0,3525.0,15.0,1431.0,35.0,659150.0,61543.0,10710424.0
Costa Rica,15229,104.0,3736.0,11389.0,54.0,2988.0,20.0,79544.0,15605.0,5097333.0
Australia,14935,161.0,9171.0,5603.0,48.0,585.0,6.0,3977904.0,155874.0,25519975.0
El Salvador,14630,400.0,7648.0,6582.0,486.0,2255.0,62.0,226718.0,34941.0,6488532.0
S. Korea,14175,299.0,12905.0,971.0,14.0,276.0,6.0,1526974.0,29782.0,51272411.0
Ethiopia,13968,223.0,6216.0,7529.0,66.0,121.0,2.0,382339.0,3321.0,115137892.0
